Geneid	Chr	Start	End	Strand	Length	...data.ly_2024.ribo.chx.SRR24230465Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.chx.SRR24230467Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.chx.SRR24230469Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.chx.SRR24230471Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.chx.SRR24230480Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.chx.SRR24230482Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.har.SRR24230464Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.har.SRR24230468Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.har.SRR24230470Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.har.SRR24230481Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.har.SRR24230483Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.har.SRR24230485Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.chx.SRR24230462Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.chx.SRR24230466Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.chx.SRR24230472Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.chx.SRR24230474Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.chx.SRR24230477Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.chx.SRR24230479Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.har.SRR24230463Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.har.SRR24230473Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.har.SRR24230475Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.har.SRR24230476Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.har.SRR24230478Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.har.SRR24230484Aligned.sortedByCoord.out.bam
115743	ENSG00000006210.7	chr16	57383322	57383375	+	54	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0
230858	ENSG00000171617.16	chr5	74628048	74628230	-	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	1	2	1	0	1
232154	ENSG00000145687.17	chr5	81417670	81417705	-	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
309984	ENSG00000185973.12	chrX	155489581	155489592	-	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105286	ENSG00000166192.15	chr15	72141200	72141242	+	43	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0
199467	ENSG00000080819.9	chr3	98579803	98579831	-	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0
262618	ENSG00000180347.15	chr7	31654347	31654367	+	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
235015	ENSG00000155324.10	chr5	126492990	126493019	+	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
46804	ENSG00000110315.7	chr11	10512802	10512822	-	21	0	0	0	0	0	0	0	0	0	0	2	2	3	2	2	3	2	6	2	2	1	2	3	2
306284	ENSG00000250423.3	chrX	119080930	119080935	-	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
168497	ENSG00000128655.19	chr2	177623923	177623934	-	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88317	ENSG00000100852.14	chr14	32155709	32155753	+	45	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	1	3	2	0	2	0	0	0
301086	ENSG00000171365.17	chrX	50093245	50093286	+	42	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	1	0	0	2	1	0	1	3	0
237702	ENSG00000183775.11	chr5	144480239	144480268	+	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
251903	ENSG00000172461.11	chr6	96204447	96204464	+	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170446	ENSG00000197121.15	chr2	196837031	196837090	-	60	0	0	0	0	0	0	0	0	0	0	0	1	3	4	2	0	1	3	2	0	1	1	1	1
48956	ENSG00000110427.17	chr11	33673601	33673639	+	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
223062	ENSG00000164142.16	chr4	151666135	151666185	+	51	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	3	2	1	0	2	0	1
205415	ENSG00000120742.11	chr3	150542651	150542656	-	6	0	0	0	0	0	2	0	0	0	0	0	2	4	4	1	3	5	14	3	0	4	2	5	2
190046	ENSG00000100294.13	chr22	43132988	43143348	-	10361	601	420	387	367	731	531	233	360	706	744	361	374	86	162	77	106	87	195	114	95	98	102	87	164
81938	ENSG00000102780.17	chr13	42238070	42238081	+	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1
194334	ENSG00000182606.18	chr3	42013658	42013771	+	114	44	25	19	13	28	20	38	64	43	124	14	84	0	4	6	7	5	1	0	2	4	3	6	11
149741	ENSG00000176920.14	chr19	48705760	48705795	+	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
250131	ENSG00000119900.9	chr6	71303116	71303163	+	48	0	1	0	0	3	0	0	0	0	0	0	0	0	2	1	1	1	1	2	0	1	0	1	0
80428	ENSG00000122026.12	chr13	27257126	27257143	+	18	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	1	0	0
75082	ENSG00000111696.12	chr12	103773279	103773388	-	110	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	2	1	0	0	3	2	1
170866	ENSG00000155729.13	chr2	200489240	200489245	-	6	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0
203039	ENSG00000179348.13	chr3	128479608	128479676	-	69	0	0	0	0	0	0	0	0	0	0	1	1	2	3	2	1	2	1	1	0	0	0	0	2
1004	ENSG00000180758.12	chr1	9101234	9101391	-	158	0	0	0	0	2	0	1	0	0	0	0	0	0	5	3	3	0	6	1	4	1	2	1	1
85830	ENSG00000134884.15	chr13	106542425	106542448	-	24	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
167912	ENSG00000172845.18	chr2	173901188	173901217	-	30	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0
237100	ENSG00000171815.6	chr5	141054238	141054309	+	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
229946	ENSG00000123213.23	chr5	65827187	65827228	+	42	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
116294	ENSG00000172840.7	chr16	66889577	66889606	+	30	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	2	1	0	0	1	2	1	0
121706	ENSG00000184650.11	chr17	8345954	8346004	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4392	ENSG00000158161.16	chr1	27970763	27970869	-	107	2	0	0	3	0	0	0	0	0	4	2	0	1	6	6	11	8	18	7	10	10	9	10	10
301221	ENSG00000158352.18	chrX	50590430	50590612	-	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35153	ENSG00000188611.17	chr10	50183796	50183816	-	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230782	ENSG00000157107.14	chr5	73089960	73090082	+	123	0	0	1	0	0	0	0	0	0	0	0	1	1	7	1	7	0	11	1	1	10	4	6	7
237545	ENSG00000145819.18	chr5	143224160	143224180	+	21	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
139331	ENSG00000166342.19	chr18	72746077	72746103	-	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170914	ENSG00000082153.18	chr2	200823873	200823950	+	78	0	0	0	1	0	0	0	1	6	6	0	3	3	4	2	4	4	7	3	6	3	3	0	1
192334	ENSG00000131374.15	chr3	17157913	17157924	-	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	0	2	1	0	0	2
289495	ENSG00000137124.8	chr9	38398267	38398441	+	175	0	0	0	0	0	0	0	2	0	7	0	3	1	2	0	2	2	5	3	3	4	2	1	7
162917	ENSG00000114999.8	chr2	112531172	112531207	+	36	0	0	2	0	4	1	3	0	3	0	0	6	7	9	5	9	12	6	8	11	6	12	5	5
237101	ENSG00000171815.6	chr5	141054355	141054454	+	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173824	ENSG00000163516.14	chr2	219230258	219236445	+	6188	259	143	209	235	470	372	145	208	574	956	317	441	29	48	27	77	43	103	45	42	44	65	73	96
289412	ENSG00000122741.16	chr9	37862437	37862445	+	9	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	4	1	2	1	1
62966	ENSG00000111196.11	chr12	10605525	10605566	-	42	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	1	0	0	0
185932	ENSG00000099954.19	chr22	17553794	17554019	+	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
39546	ENSG00000165841.11	chr10	94853760	94853777	+	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74599	ENSG00000120868.15	chr12	98733288	98733299	+	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	4	0	0	0	0	2	1
142568	ENSG00000197054.12	chr19	11979471	11979515	+	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110907	ENSG00000182831.12	chr16	9119289	9119362	+	74	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	1	8	1	4	2	1	0	1
224786	ENSG00000145451.13	chr4	174639951	174639980	-	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256038	ENSG00000112339.15	chr6	134961965	134962063	-	99	0	0	2	0	1	1	0	0	4	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0
276401	ENSG00000042980.14	chr8	24354702	24354746	+	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146907	ENSG00000197863.9	chr19	36818387	36818398	-	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
211277	ENSG00000181215.17	chr4	6023445	6023534	-	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
224946	ENSG00000129128.13	chr4	176329946	176330057	+	112	2	2	12	3	7	12	4	3	17	20	5	31	66	127	72	135	116	222	85	110	100	106	156	96
213374	ENSG00000078140.14	chr4	39778850	39778870	+	21	0	0	0	0	1	4	0	1	0	4	0	11	5	8	3	5	7	8	6	11	5	8	8	5
233479	ENSG00000184349.14	chr5	107376923	107377250	-	328	0	0	0	0	0	2	0	0	0	4	0	0	3	0	1	1	1	3	0	2	1	0	1	3
122087	ENSG00000188803.15	chr17	11559315	11559406	+	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
302666	ENSG00000147130.14	chrX	71240533	71240729	-	197	0	0	0	0	0	0	0	0	2	1	9	1	6	11	6	13	18	20	10	14	11	15	15	12
300127	ENSG00000185753.13	chrX	40630423	40630446	-	24	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
100499	ENSG00000168907.13	chr15	42140012	42140032	-	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42632	ENSG00000165650.12	chr10	117279511	117279742	-	232	0	0	2	0	0	2	0	0	4	5	0	3	8	10	5	4	8	14	7	4	7	5	15	11
114394	ENSG00000166123.14	chr16	46929825	46930032	+	208	0	0	0	0	0	1	0	0	1	0	0	1	0	3	1	2	4	8	2	1	5	0	8	5
287785	ENSG00000176399.4	chr9	22454675	22454683	+	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106352	ENSG00000167196.14	chr15	75935521	75935547	+	27	0	0	0	0	1	0	0	1	0	1	0	3	1	2	1	3	1	0	1	2	2	2	2	3
195844	ENSG00000114302.17	chr3	48747023	48747147	-	125	0	0	2	0	1	1	0	0	0	3	3	2	10	11	11	9	11	23	12	15	10	13	8	7
68506	ENSG00000123360.12	chr12	54579085	54579210	+	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34503	ENSG00000165507.9	chr10	44976323	44976343	-	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
5247	ENSG00000121904.19	chr1	33514861	33514887	-	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
212196	ENSG00000118579.13	chr4	17633273	17633302	+	30	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
16444	ENSG00000116128.12	chr1	147624974	147624997	+	24	0	0	0	0	1	5	0	0	0	3	3	0	1	1	1	4	1	0	2	2	2	1	5	0
24256	ENSG00000000971.17	chr1	196652094	196652105	+	12	9	5	10	8	5	6	13	10	34	25	30	20	0	1	0	0	0	0	0	1	0	0	0	0
77393	ENSG00000171435.15	chr12	117454052	117454201	-	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59424	ENSG00000109929.10	chr11	121308601	121308606	+	6	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	2	0	0	1	2	1
94535	ENSG00000185070.12	chr14	85638855	85638869	+	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
273009	ENSG00000178826.11	chr7	143287358	143287570	+	213	0	0	0	0	0	0	0	0	0	4	0	2	2	0	0	2	3	2	1	0	1	1	2	1
288088	ENSG00000174482.11	chr9	27941223	27941240	-	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
286091	ENSG00000107104.21	chr9	745698	745781	+	84	0	0	0	0	0	0	0	0	0	3	0	0	1	3	1	5	0	1	2	2	1	1	4	5
62650	ENSG00000110852.5	chr12	9852967	9852990	-	24	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	1	1	1	1
157783	ENSG00000214595.13	chr2	54971716	54971751	+	36	0	0	0	0	0	0	1	0	0	0	4	0	1	0	1	0	0	0	0	1	0	0	0	0
215190	ENSG00000128050.9	chr4	56461454	56461543	+	90	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	3	0	1	1	0	2	0	0	1
254450	ENSG00000164451.14	chr6	116558550	116558600	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46415	ENSG00000166405.16	chr11	8106650	8106658	-	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69729	ENSG00000135454.14	chr12	57624862	57624891	-	30	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	1	2	0	1	1
55587	ENSG00000166575.17	chr11	87322974	87323000	+	27	0	0	0	0	0	1	0	0	0	0	1	3	0	2	1	1	5	5	3	3	3	4	4	2
248054	ENSG00000146216.14	chr6	43287293	43287558	+	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4427	ENSG00000169403.12	chr1	28148642	28148665	-	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
157993	ENSG00000115421.13	chr2	60797545	60797553	+	9	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	1	2	1	0	1	2	0	0
90384	ENSG00000070269.14	chr14	56488367	56488375	+	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
233997	ENSG00000129595.14	chr5	112163383	112163412	-	30	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1
251341	ENSG00000188994.14	chr6	87263882	87263896	+	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
221896	ENSG00000151012.13	chr4	138170664	138170681	-	18	0	0	0	0	0	0	1	0	0	1	0	0	1	3	3	0	0	12	1	0	1	2	5	3
77902	ENSG00000157837.16	chr12	120764271	120764299	-	29	0	0	0	1	0	0	0	0	2	3	0	3	2	6	3	2	1	7	1	0	2	7	2	5
161535	ENSG00000158417.12	chr2	99399608	99399748	+	141	0	0	0	1	0	2	0	1	1	2	1	4	12	19	11	19	14	38	21	15	18	16	27	16
120614	ENSG00000132388.13	chr17	4272410	4272499	-	90	2	2	4	3	5	9	1	4	5	25	8	35	25	28	11	41	22	86	22	22	31	19	31	26
222988	ENSG00000198589.15	chr4	150265722	151014642	-	748921	904	568	366	445	1568	1448	756	1062	945	4937	799	2630	1190	1971	669	1073	345	1269	1256	965	1319	1070	430	485
12426	ENSG00000117525.14	chr1	94529615	94529623	-	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	4	0	0	0	1	0	1
124879	ENSG00000205045.13	chr17	35466298	35466361	-	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100957	ENSG00000166762.19	chr15	43628533	43628541	-	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194802	ENSG00000178917.19	chr3	44493663	44493945	-	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	1	0	0
247724	ENSG00000112578.11	chr6	41921421	41921447	+	27	0	3	2	4	0	4	3	6	10	7	1	8	0	1	0	0	0	1	0	0	0	0	0	1
53525	ENSG00000172893.18	chr11	71428415	71428459	-	45	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
186319	ENSG00000099910.17	chr22	20491203	20491223	-	21	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0
263302	ENSG00000168303.9	chr7	40130039	40130044	-	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
162394	ENSG00000153201.17	chr2	108784015	108784020	+	6	0	0	0	0	1	0	0	0	1	4	2	5	3	2	0	1	2	15	1	5	3	4	5	2
160121	ENSG00000176407.18	chr2	85058534	85058539	+	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
240714	ENSG00000043462.13	chr5	170247753	170247938	-	186	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
260390	ENSG00000106415.13	chr7	8087244	8087396	+	153	0	0	1	2	0	0	0	0	2	0	3	8	9	13	7	16	7	21	12	10	10	12	18	6
50189	ENSG00000110536.14	chr11	47571858	47571884	+	27	0	0	0	0	0	0	0	0	0	6	0	0	6	4	6	11	8	31	1	1	2	3	7	14
97950	ENSG00000273749.5	chr15	22867747	22867764	-	18	0	0	2	0	1	1	0	0	0	2	0	2	0	5	1	5	1	18	4	3	2	3	2	2
251738	ENSG00000083099.11	chr6	89602666	89602757	-	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83753	ENSG00000227151.4	chr13	57163371	57163391	+	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137004	ENSG00000101670.12	chr18	49597823	49597837	+	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171394	ENSG00000204217.16	chr2	202563621	202563653	+	33	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	0	2	2	1	0	0	2
190377	ENSG00000077942.19	chr22	45600573	45600581	+	9	0	0	0	0	0	1	0	0	1	3	0	9	4	4	2	1	2	9	2	2	3	0	4	6
193646	ENSG00000178567.8	chr3	36985883	36985928	-	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40859	ENSG00000166171.13	chr10	101588337	101609471	+	21135	343	212	122	165	580	491	70	131	96	479	60	281	62	101	36	57	54	103	66	38	68	72	44	81
96946	ENSG00000140105.18	chr14	100333984	100334216	-	233	0	0	3	6	1	5	5	0	10	9	10	7	24	41	29	45	41	102	31	50	31	63	46	62
299951	ENSG00000198947.18	chrX	31120496	31120610	-	115	0	0	4	0	2	1	0	1	6	8	0	11	12	23	10	21	11	57	30	16	22	30	24	19
281270	ENSG00000104497.15	chr8	81800272	81800319	-	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
302789	ENSG00000204131.11	chrX	72147626	72147664	+	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
212004	ENSG00000004468.13	chr4	15850528	15850536	+	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
273348	ENSG00000212807.3	chr7	144229311	144229382	-	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47770	ENSG00000151116.17	chr11	18531716	18531724	-	9	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	2	0	0	1	0	1	1	1	0
240576	ENSG00000120137.7	chr5	168556997	168557005	-	9	0	0	0	1	3	0	0	1	4	2	1	2	1	8	4	2	0	10	3	2	4	3	6	2
209584	ENSG00000180611.7	chr3	192797837	192797842	-	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
283656	ENSG00000120533.13	chr8	109343871	109343915	+	45	0	0	1	1	0	0	0	0	1	2	0	0	1	2	0	3	1	7	1	1	2	0	2	2
175890	ENSG00000172478.18	chr2	240886332	240886412	-	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
307225	ENSG00000183631.5	chrX	126821691	126821705	+	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72890	ENSG00000111052.8	chr12	80794478	80794549	-	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
158721	ENSG00000204923.4	chr2	68459477	68459560	-	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120231	ENSG00000172146.4	chr17	3217898	3218163	+	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106064	ENSG00000198794.12	chr15	75007713	75011835	+	4123	6	6	5	5	5	1	17	27	26	34	24	20	2	0	1	0	0	0	0	1	1	4	1	3
192709	ENSG00000151090.20	chr3	24118868	24118916	-	49	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
218778	ENSG00000164024.12	chr4	98995754	99061317	+	65564	1170	805	773	803	1678	1701	282	338	1016	1049	601	511	369	627	211	429	144	340	344	341	387	335	191	198
22094	ENSG00000135870.13	chr1	173993112	173993120	-	9	1	2	0	0	3	1	2	1	0	2	2	2	0	6	0	4	2	5	4	1	4	1	0	1
192568	ENSG00000151789.13	chr3	21420823	21420837	-	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106579	ENSG00000173517.11	chr15	77101125	77101210	-	86	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
60492	ENSG00000109832.14	chr11	125939316	125939396	+	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123526	ENSG00000109107.14	chr17	28576235	28576255	-	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84952	ENSG00000152749.8	chr13	94627537	94627554	+	18	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	3	14	2	0	2	0	3	2
78753	ENSG00000184992.13	chr12	125027237	125027322	+	86	0	1	7	5	1	0	0	1	3	5	6	4	10	30	15	24	18	41	14	17	18	18	26	14
80222	ENSG00000132932.19	chr13	25372213	26019985	+	647773	18	3	24	13	26	16	12	14	51	65	53	36	19	24	11	21	7	52	19	18	15	23	27	42
268222	ENSG00000146833.16	chr7	99890779	99890823	-	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
136597	ENSG00000175387.16	chr18	47821011	47821037	-	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1
9321	ENSG00000162433.15	chr1	65226297	65226308	+	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
214066	ENSG00000163285.8	chr4	46037394	46037456	-	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
215076	ENSG00000090989.18	chr4	55904991	55904996	+	6	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0
62539	ENSG00000111752.11	chr12	8917678	8939459	+	21782	3	0	1	2	17	13	6	4	2	48	0	28	5	14	4	9	3	10	4	5	3	9	2	3
256673	ENSG00000164440.16	chr6	139240888	139240911	-	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164674	ENSG00000082258.13	chr2	134918303	134918320	+	18	3	0	0	1	0	0	3	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
110634	ENSG00000103199.14	chr16	4750443	4750481	-	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
269951	ENSG00000105967.16	chr7	115938177	115938212	-	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135428	ENSG00000134758.14	chr18	32129273	32129308	+	36	0	0	0	0	0	2	0	0	0	0	0	0	1	6	1	0	0	3	0	0	3	2	1	0
265999	ENSG00000127951.8	chr7	77195645	77195701	-	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141563	ENSG00000142347.21	chr19	8520940	8521234	-	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
112160	ENSG00000103540.17	chr16	19525943	19525981	+	39	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
198354	ENSG00000163412.13	chr3	71683517	71683546	-	30	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	2	0	3	0	1	2	1	2
217105	ENSG00000138759.20	chr4	78542877	78542885	+	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
161994	ENSG00000135953.11	chr2	102715002	102715019	-	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
136175	ENSG00000152234.16	chr18	46080424	46080525	-	102	0	0	0	0	1	0	0	1	0	0	0	0	2	1	0	1	0	1	1	0	3	1	0	2
